#-*-sh-*-
# 
# H1 HERA-I+HERA-II diffractive DIS data
# 

##########################################################
#  General parameters of this dataset 
##########################################################
AlposName                       "H1-ZEUS-Comb-2012"  # A unique alpos name 
Description                    	"H1 and ZEUS Combined 2012"
Reference                       "Eur Phys J C (2012) 72-2175" 
arXiv                           1207.4864
Inspire                         1123363
Title                           "Combined inclusive diffractive cross sections measured with forward proton spectrometers in deep inelastic ep scattering at HERA"



########################################################## 
#  Theory function settings 
##########################################################  
TheoryFunction                      ApfelxxDDISCS #ApfelDDISCS #ApfelxxDDISCS  #maral


########################################################## 
#  theory parameters, specific to this dataset 
#  not specified parameters are taken from default as
#  specified in the global steering file                                      
##########################################################          
sqrt-s                           318.       # sqrt-s only needed if y is not given in table
e-charge                         -1.
e-polarity                       0.
IsReducedCS                      true
IsNC                             true


##########################################################          
#
#   Data table
#
##########################################################   

#   ColumnType = 4*'Bin','Sigma',6*'Error'
#   ColumnName ='xpom,Q2,Beta,MX,Sigma_reduced,stat,uncor,cor,exp,proc,tot'



Data {{
"xp"	"Q2"	"beta"	"mx"	       "Sigma"	     "dstat" "duncor"	"dcor"	"dexp"	"dproc"	"dtot"
0.016	26.5	0.0562	21.09574007	0.03315		4.9	0.7	4.8	7	1.8	7.2
0.025	26.5	0.0562	21.09574007	0.029614	5.5	0.7	4.5	7.1	1.3	7.3
0.035	26.5	0.0562	21.09574007	0.034697	7.4	0	4.8	8.8	1.6	9
0.05	26.5	0.0562	21.09574007	0.040664	6.2	1.6	5.1	8.2	1.3	8.3
0.075	26.5	0.0562	21.09574007	0.046631	7.4	1.8	4.5	8.9	1.5	9
0.09	26.5	0.0562	21.09574007	0.052377	9.6	3.2	5	11	3.4	12
0.0025	26.5	0.178	11.06238693	0.030498	5.4	0.4	5.1	7.5	1.4	7.6
0.0085	26.5	0.178	11.06238693	0.027846	5	0.8	4.8	7	2.7	7.5
0.016	26.5	0.178	11.06238693	0.024973	5.5	0	5.1	7.6	2.2	7.9
0.025	26.5	0.178	11.06238693	0.020553	6.5	1	4.9	8.2	1.4	8.3
0.035	26.5	0.178	11.06238693	0.0221		9.8	0	5.7	11	4	12
0.05	26.5	0.178	11.06238693	0.023205	26	14	4.9	30	1.9	30
0.075	26.5	0.178	11.06238693	0.037349	42	11	4.9	44	1.9	44
0.0009	26.5	0.562	4.544559925	0.053261	22	10	4.9	25	1.9	25
0.0025	26.5	0.562	4.544559925	0.041769	3.7	0.2	6	7	9.1	12
0.0085	26.5	0.562	4.544559925	0.03094		4.3	0.4	5	6.6	3.8	7.6
0.025	26.5	0.562	4.544559925	0.030056	31	15	4.9	35	1.9	35
0.05	46	0.0178	50.38124317	0.069173	8.6	4.5	4.7	11	1.6	11
0.075	46	0.0178	50.38124317	0.048178	19	0	5.1	20	2.5	20
0.016	46	0.0562	27.79398025	0.036023	8.8	0	5.2	10	2.1	11
0.025	46	0.0562	27.79398025	0.038012	8.6	0	5.3	10	2.1	10
0.035	46	0.0562	27.79398025	0.034918	8.3	1.8	4.6	9.6	2.2	9.8
0.05	46	0.0562	27.79398025	0.043979	7.6	1.9	4.8	9.2	2.8	9.6
0.075	46	0.0562	27.79398025	0.046852	8.4	1.2	4.9	9.7	3.2	10
0.09	46	0.0562	27.79398025	0.059007	8.9	2.4	4.8	10	1	10
0.0085	46	0.178	14.57487449	0.026741	6.6	1.3	5.4	8.6	2.1	8.9
0.016	46	0.178	14.57487449	0.029393	5.9	1.5	4.8	7.7	2.4	8.1
0.025	46	0.178	14.57487449	0.029835	8.5	0	4.9	9.8	2.2	10
0.035	46	0.178	14.57487449	0.028509	7.5	1.9	4.6	9	2.1	9.2
0.05	46	0.178	14.57487449	0.032708	7.4	2.9	4.8	9.3	2.4	9.6
0.075	46	0.178	14.57487449	0.044421	9.9	4	4.7	12	3.4	12
0.09	46	0.178	14.57487449	0.039117	13	4.2	5	14	8.6	17
0.0025	46	0.562	5.987531529	0.043316	5.1	1	5.4	7.5	4.2	8.6
0.0085	46	0.562	5.987531529	0.029835	5.1	1	4.9	7.2	4.6	8.5
0.016	46	0.562	5.987531529	0.027404	6.9	1.8	4.8	8.6	2.3	8.9
0.025	46	0.562	5.987531529	0.023426	13	0	5.9	14	1.2	15
0.035	46	0.562	5.987531529	0.029835	14	7	4.8	16	2.2	16
0.05	46	0.562	5.987531529	0.02652		17	20	4.9	26	2.3	26
0.0009	46	0.816	3.220644193	0.032045	21	5.3	4.5	22	1.4	22
0.0025	46	0.816	3.220644193	0.028951	17	8.1	5.3	20	3	20
0.0085	46	0.816	3.220644193	0.02431		18	3.9	4.3	19	1.5	19
0.016	46	0.816	3.220644193	0.020332	27	3.9	5.4	28	4.1	28
0.035	80	0.0562	36.65361571	0.050167	19	0	5.8	20	2.7	20
0.05	80	0.0562	36.65361571	0.051935	15	0	5	16	2	16
0.075	80	0.0562	36.65361571	0.047736	24	0	5.9	25	1.9	25
0.0085	80	0.178	19.22077528	0.045526	15	0	6	16	2.9	16
0.016	80	0.178	19.22077528	0.029393	13	0	4.8	14	2.3	14
0.025	80	0.178	19.22077528	0.032266	12	0	5.2	13	1.6	13
0.035	80	0.178	19.22077528	0.035802	14	0	5.6	15	1	15
0.05	80	0.178	19.22077528	0.032266	15	0	5.5	16	2.3	16
0.075	80	0.178	19.22077528	0.040443	26	0	5.3	27	3	27
0.0085	80	0.562	7.896122748	0.025636	10	0	6.4	12	5.1	13
0.016	80	0.562	7.896122748	0.01989		14	0	7	15	3.5	16
0.025	80	0.562	7.896122748	0.022984	17	0	6.7	18	5.3	19
0.035	80	0.562	7.896122748	0.024089	25	0	7.3	26	3.6	26
0.05	200	0.0562	57.95445506	0.035802	28	0	5	28	1	28
0.075	200	0.0562	57.95445506	0.063648	37	0	5.5	37	2.3	37
0.016	200	0.178	30.39071413	0.032045	20	0	5.8	21	1.3	21
0.025	200	0.178	30.39071413	0.043979	16	0	5	17	1.9	17
0.035	200	0.178	30.39071413	0.037349	22	0	5.2	23	2.6	23
0.05	200	0.178	30.39071413	0.051935	20	0	5.5	21	2.6	21
0.075	200	0.178	30.39071413	0.046189	35	0	5.6	35	2.5	36
0.0085	200	0.562	12.48486628	0.024089	19	0	6.6	21	3.9	21
0.016	200	0.562	12.48486628	0.020553	23	0	6.4	24	1.9	24
0.025	200	0.562	12.48486628	0.016354	27	0	6.7	28	4.9	29
0.035	200	0.562	12.48486628	0.034918	33	0	6.7	34	2.4	34
0.05	200	0.562	12.48486628	0.033371	29	0	5.4	29	1.8	29
0.075	200	0.562	12.48486628	0.050388	50	0	5.9	50	3.2	50
}}


Subsets { Q2 }

Cuts { }

TheoryFactors { }

ErrorSet                   "H1"
ErrorUnit                  percent

Errors {{
 ErrorName       Column          Correlation      Nature
  dstat           dstat             ESM0            P
  duncor          duncor            EYM0            M
  dcor            dcor              EYM1            M
  dexp            dexp             EYM1             M
  dproc           dproc            EYM1             M
  dtot            dtot             EYM1             M
}}




